street,type,district
Герцена,вулиця,Шевченківський
Герцена,узвіз,Шевченківський
Герцена,провулок,Шевченківський
Гетьмана Вадима,вулиця,Солом'янський
Гійома де Боплана,вулиця,Деснянський
Гіллястий,провулок,Дніпровський
Гладківська,вулиця,Солом'янський
Глазунова,вулиця,Печерський
Глибочицька,вулиця,Шевченківський
Глибочицький,проїзд,Шевченківський
Глібова,вулиця,Шевченківський
Глієра Рейнгольда,вулиця,Святошинський
Глінки,вулиця,Солом’янський
Глухівська,вулиця,Подільський
Глушкова Академіка,проспект,Голосіївський
Гмирі Бориса,вулиця,Дарницький
Говорова Маршала,вулиця,Голосіївський
Говорова Маршала,провулок,Голосіївський
Гоголівська,вулиця,Шевченківський
Гоголя,вулиця,Солом’янський
Гоголя,вулиця,Дарницький
Гоголя,вулиця,Деснянський
Гоголя 2,провулок,Дарницький
Голованьова Степана,вулиця,Дарницький
Головка Андрія,вулиця,Солом’янський
Голосіївська,площа,Голосіївський
Голосіївська,вулиця,Голосіївський
Голосіївський,проспект,Голосіївський
Голосіївський,провулок,Голосіївський
Гомельська,вулиця,Подільський
Гомельський,провулок,Подільський
Гонгадзе Георгія,проспект,Подільський
Гонти Івана,вулиця,Шевченківський
Гончара Олеся,вулиця,Шевченківський
Гончарна,вулиця,Подільський
Гончарова,вулиця,Шевченківський
Горбунова Академіка,вулиця,Дарницький
Горенська,вулиця,Святошинський
Гориста,вулиця,Голосіївський
Гористий,провулок,Голосіївський
Горіхова,вулиця,Солом'янський
Горіхова (Озерна 5),вулиця,Дарницький
Горлівська,вулиця,Дарницький
Городецького Архітектора,вулиця,Печерський
Городище,вулиця,Деснянський
Городищенська,вулиця,Подільський
Городня,вулиця,Солом’янський
Горюшка Георгія,вулиця,Голосіївський
Госпітальна,вулиця,Печерський
Госпітальний,провулок,Печерський
Гостинна,вулиця,Дарницький
Гостинний,провулок,Дарницький
Гостомельська,вулиця,Святошинський
Гостомельська,площа,Святошинський
Гостомельське,шосе,Оболонський
Грабовського Павла,вулиця,Голосіївський
Грабовського Павла,провулок,Голосіївський
Градинська,вулиця,Деснянський
Гранична,вулиця,Святошинський
Гребінки,вулиця,Голосіївський
Грекова Академіка,вулиця,Шевченківський
Гречаний,провулок,Дарницький
Григоренка Петра,проспект,Дарницький
Григорія Голоскевича,вулиця,Голосіївський
Григорія Косинки,вулиця,Деснянський
Григоровича-Барського,вулиця,Святошинський
Гришка Миколи,вулиця,Деснянський
Гришка Михайла,вулиця,Дарницький
Грінченка Бориса,вулиця,Шевченківський
Грінченка Миколи,вулиця,"Голосіївський, Солом’янський"
Гродненська,вулиця,Дніпровський
Гродненський,провулок,Дніпровський
Грозненська,вулиця,Шевченківський
Громадська,вулиця,Солом’янський
Громової Уляни,вулиця,Солом’янський
Грузинська,вулиця,Дарницький
Грузинський,провулок,Дарницький
Грушева,вулиця,Солом'янський
Грушевського Михайла,вулиця,Печерський
Гулака Миколи,вулиця,Оболонський
Гурамішвілі Давида,вулиця,Святошинський
Гусовського,вулиця,Печерський
Гучний,провулок,Солом’янський
Ґалаґанівська,вулиця,Святошинський
Ґренджі-Донського,вулиця,Солом'янський
Далека,вулиця,Солом'янський
Даля Олександра,вулиця,Деснянський
Дамбова,вулиця,Дніпровський
Дамбова 1,вулиця,Дніпровський
Дамбова 2,вулиця,Дніпровський
Дамбова 3,вулиця,Дніпровський
Данченка Сергія,вулиця,Подільський
Данькевича Костянтина,вулиця,Деснянський
Дарвіна,вулиця,Печерський
Дарницька,площа,Дніпровський
Дарницький,бульвар,Дніпровський
Дачна,вулиця,Деснянський
Дачний,провулок,Деснянський
Дашавська,вулиця,Солом'янський
Двінська,вулиця,Дніпровський
Дегтярівська,вулиця,Шевченківський
Дегтярна,вулиця,Подільський
Дежнєва,вулиця,Солом'янський
Дежнєва,провулок,Солом'янський
Декабристів,вулиця,Дарницький
Делегатський,провулок,Шевченківський
Демидівська,вулиця,Дарницький
Деміївська,площа,Голосіївський
Деміївська,вулиця,Голосіївський
Деміївський,провулок,Голосіївський
Депутатська,вулиця,Святошинський
Деревлянська,вулиця,Шевченківський
Деревообробна,вулиця,Голосіївський
Деревообробний,провулок,Голосіївський
Десенський ,провулок,Деснянський
Деснянська,вулиця,Солом'янський
Деснянська,вулиця,Деснянський
Деснянська,вулиця,Дніпровський
Деснянський,провулок,Деснянський
Десятинна,вулиця,Шевченківський
Десятинний,провулок,Шевченківський
Джаліля Муси,вулиця,Подільський
Джеймса Мейса,вулиця,Солом'янський
Джерельна,вулиця,Оболонський
Джерельна,вулиця,Дарницький
Джерельний,провулок,Оболонський
Джона Маккейна,вулиця,Печерський
Дзиґи Вертова,провулок,Дніпровський
Диканський,провулок,Дарницький
Димерська,вулиця,Святошинський
Діамантовий,провулок,Деснянський
Дібровна ,вулиця,Голосіївський
Дібровний,провулок,Голосіївський
Ділова,вулиця,"Голосіївський, Печерський"
Дмитра Григоровича,вулиця,Солом’янський
Дмитра Загула,вулиця,Деснянський
Дмитрівська,вулиця,Шевченківський
Дмитрівська,вулиця,Подільський
Дніпрова,вулиця,Дарницький
Дніпровий,провулок,Дарницький
Дніпроводська,вулиця,Оболонський
Дніпровська,вулиця,Оболонський
Дніпровська ,набережна,"Дніпровський, Дарницький"
Дніпровське,шосе,Голосіївський
Дніпровський ,узвіз,Печерський
Дністровська,вулиця,Солом'янський
Добрий Шлях,вулиця,Голосіївський
Добринінська,вулиця,Оболонський
Добробутна,вулиця,Солом'янський
Добровольчих батальйонів,вулиця,Печерський
Добролюбова,вулиця,Печерський
Добролюбова,провулок,Печерський
Добросусідська,вулиця,Солом'янський
Добросусідський,провулок,Солом'янський
Доброхотова Академіка,вулиця,Святошинський
Добрузька,вулиця,Солом'янський
Доватора Генерала,вулиця,Голосіївський
Доватора Генерала,провулок,Голосіївський
Довбуша Олекси,вулиця,Дніпровський
Довженка,вулиця,Деснянський
Довженка Олександра,вулиця,Шевченківський
Докучаєвська,вулиця,Солом'янський
Докучаєвський,тупик,Солом'янський
Докучаєвський,провулок,Солом'янський
Долинна,вулиця,Солом'янський
Донецька,вулиця,Солом'янський
Донецький,провулок,Солом'янський
Донська,вулиця,Солом'янський
Донський,провулок,Солом'янський
Донця Михайла,вулиця,Солом'янський
Дончука Василя,вулиця,Шевченківський
Дорогожицька,вулиця,Шевченківський
Достоєвського,провулок,Подільський
Достоєвського,вулиця,Подільський
Драгоманова,вулиця,Дарницький
Драгомирова Михайла,вулиця,Печерський
Драйзера Теодора,вулиця,Деснянський
Драй-Хмари Михайла,вулиця,Святошинський
Друга,вулиця,Оболонський
Дружби,вулиця,Дарницький
Дружби 1,провулок,Дарницький
Дружби 2,провулок,Дарницький
Дружби 3,провулок,Дарницький
Дружби Народів,бульвар,Печерський
Дружківська,вулиця,Святошинський
Дружня,вулиця,Солом'янський
Дубенська,вулиця,Печерський
Дубичнянська,вулиця,Деснянський
Дубищанська,вулиця,Оболонський
Дубищанський,провулок,Оболонський
Дубініна Володі,вулиця,Голосіївський
Дубка (Озерна 15),вулиця,Дарницький
Дубровицька,вулиця,Оболонський
Дубровицький,провулок,Оболонський
Дубровського Віктора,провулок,Святошинський
Дудника Георгія,вулиця,Шевченківський
Дуки Степана,вулиця,Голосіївський
Дунаєвського,вулиця,Святошинський
Дунаєвського,провулок,Святошинський
Дурдуківського Володимира,вулиця,Святошинський
Дяченка Івана,вулиця,Дарницький
Екскаваторна,вулиця,Святошинський
Електриків,вулиця,Подільський
Електриків,провулок,Подільський
Електротехнічна,вулиця,Деснянський
Енгельса,провулок,Дарницький
Енгельса,вулиця,Дарницький
Енергетиків,вулиця,Солом'янський
Енергетиків,вулиця,Дніпровський
Енергетиків,провулок,Солом'янський
Ентузіастів,вулиця,Дніпровський
Ентузіастів 1,вулиця,Дарницький
Ентузіастів 10,вулиця,Дарницький
Ентузіастів 2,вулиця,Дарницький
Ентузіастів 3,вулиця,Дарницький
Ентузіастів 4,вулиця,Дарницький
Ентузіастів 5,вулиця,Дарницький
Ентузіастів 6,вулиця,Дарницький
Ентузіастів 7,вулиця,Дарницький
Ентузіастів 8,вулиця,Дарницький
Ентузіастів 9,вулиця,Дарницький
Еренбурга Іллі,вулиця,Голосіївський
Ернста Федора,вулиця,Солом'янський
Еспланадна,вулиця,Печерський
Естонська,вулиця,Шевченківський
Естонський,провулок,Шевченківський
Євгена Гуцала,провулок,Печерський
Євгена Коновальця,вулиця,Печерський
Євгена Плужника,вулиця,Деснянський
Євгена Сверстюка,вулиця,Дніпровський
Європейська,площа,Печерський
Єдності,вулиця,Деснянський
Єжи Ґедройця,вулиця,"Голосіївський, Печерський"
Єнісейська,вулиця,Голосіївський
Єреванська,вулиця,Солом'янський
Єрмака,вулиця,Оболонський
Єсеніна Сергія,вулиця,Святошинський
Жабаєва Жамбила,вулиця,Шевченківський
Жашківська,вулиця,Подільський
Живописна,вулиця,Святошинський
Жигулівська,вулиця,Голосіївський
Жилянська,вулиця,"Печерський, Голосіївський, Шевченківський"
Житкова Бориса,вулиця,Шевченківський
Житньоторзька,вулиця,Подільський
Житньоторзька,площа,Подільський
Жмаченка Генерала,вулиця,Дніпровський
Жмеринська,вулиця,Святошинський
Жмеринський,провулок,Святошинський
Жовтнева,вулиця,Святошинський
Жовтневий,провулок,Святошинський
Жолудєва,вулиця,Святошинський
Жуків Затон,вулиця,Голосіївський
Жуковського Василя,провулок,Голосіївський
Жуковського Василя,вулиця,Голосіївський
Жулянська,вулиця,Голосіївський
Журавлина,вулиця,Дарницький
Журавлина,вулиця,Солом'янський
Забайківська,вулиця,Голосіївський
Забіли Віктора,вулиця,Голосіївський
Заболотний,провулок,Голосіївський
Заболотного Академіка,вулиця,Голосіївський
Завальна,вулиця,Дарницький
Заводська,вулиця,Подільський
Заводський,провулок,Дарницький
Заглади Леоніли,вулиця,Дарницький
Загороднього Михайла,площа,Оболонський
Загородня,вулиця,Голосіївський
Задніпровського Михайла,вулиця,Печерський
Задорожний,провулок,Голосіївський
Заканальна,вулиця,Дарницький
Закарпатська,вулиця,Голосіївський
Закревського Миколи,вулиця,Деснянський
Заливна,вулиця,Голосіївський
Залізнична,вулиця,Солом'янський
Залізнична,вулиця,Дніпровський
Залізнична 1,вулиця,Дніпровський
Залізнична 2,вулиця,Дніпровський
Залізнична 3,вулиця,Дніпровський
Залізнична 4,вулиця,Дніпровський
Залізничне,шосе,Печерський
Залізняка Максима,вулиця,Святошинський
Залісна,вулиця,Солом'янський
Заломова Петра,вулиця,Солом'янський
Залужна ,вулиця,Голосіївський
Залужний ,провулок,Голосіївський
Заміський,провулок,Дарницький
Замковецька,вулиця,Подільський
Замковецький,провулок,Подільський
Заньковецької,вулиця,Печерський
Заозерний,провулок,Деснянський
Западинська,вулиця,Подільський
Запашний,провулок,Дарницький
Запечерний,провулок,Печерський
Заплавна,вулиця,Дарницький
Заплавний,провулок,Дарницький
Заповітна,вулиця,Солом'янський
Заповітний,провулок,Солом'янський
Запорізька,вулиця,Солом'янський
Запорожця Петра,вулиця,Дніпровський
Запорожця Петра,вулиця,Деснянський
Заремби Владислава,провулок,Голосіївський
Зарічна,вулиця,Дарницький
Зарубинецька,вулиця,Подільський
Заслонова Костянтина,вулиця,Дарницький
Затєвахіна Полковника,вулиця,Голосіївський
Затишна,вулиця,Дарницький
Захарівська,вулиця,Подільський
Захисників,провулок,Деснянський
Західна,вулиця,Солом'янський
Західний,провулок,Солом'янський
Звенигородська,вулиця,Святошинський
Звіринецька,вулиця,Печерський
Звіринецький,провулок,Печерський
Зв'язківців,вулиця,Святошинський
Згурівська,вулиця,Солом'янський
Здолбунівська,вулиця,Дарницький
Зелена,вулиця,Солом'янський
Зелена,вулиця,Дніпровський
Зелена,вулиця,Шевченківський
Зеленогірська,вулиця,Солом'янський
Зелінського Академіка,провулок,Подільський
Землянична,вулиця,Подільський
Землянська,вулиця,Печерський
Землянський,провулок,Печерський
Зенітна,вулиця,Солом'янський
Зимова,вулиця,Подільський
Златопільська,вулиця,Солом'янський
Знам'янська,вулиця,Солом'янський
Зовнішня,вулиця,Дарницький
Зодчих,вулиця,Святошинський
Золота,вулиця,Дніпровський
